strategy,year,months,annualized_arithmetic_excess,compounded_excess_wealth_difference
equal_weight,2019,12,-0.07770826188616574,-0.08710538521200983
equal_weight,2020,12,-0.18639852500129764,-0.2145689561707933
equal_weight,2021,12,0.0006548753220617307,0.006067189320890343
equal_weight,2022,12,-0.05683961244567566,-0.06061756498765991
equal_weight,2023,12,0.007260062083398935,0.010806965381799039
equal_weight,2024,12,-0.06328407769519584,-0.07014702564390585
equal_weight,2025,12,-0.029664518796677114,-0.030949099182467688
equal_weight,2026,5,0.28454339566436904,0.13733728815167945
inverse_vol_12m,2019,12,-0.09009746515504527,-0.09912216232419446
inverse_vol_12m,2020,12,-0.1591978116761745,-0.18059513800407778
inverse_vol_12m,2021,12,-0.041455607215607676,-0.04348356029147782
inverse_vol_12m,2022,12,-0.08689904561742592,-0.08994143585807901
inverse_vol_12m,2023,12,0.033970594211246236,0.03973370926281383
inverse_vol_12m,2024,12,-0.03809264745818541,-0.04105407506174941
inverse_vol_12m,2025,12,-0.016465314281601584,-0.015609903121414748
inverse_vol_12m,2026,5,0.17600961228877166,0.08715622670912482
momentum_12m_top2_invvol,2019,12,-0.10409752387998797,-0.11468503140282604
momentum_12m_top2_invvol,2020,12,-0.08531760064378198,-0.09408406086063015
momentum_12m_top2_invvol,2021,12,-0.06297423392404897,-0.07446571142817837
momentum_12m_top2_invvol,2022,12,-0.026668533748562345,-0.029309024760709512
momentum_12m_top2_invvol,2023,12,-0.040454270157847014,-0.0349380762337661
momentum_12m_top2_invvol,2024,12,0.009558415964789218,0.012831834541359832
momentum_12m_top2_invvol,2025,12,0.06046130775428711,0.07721396735323416
momentum_12m_top2_invvol,2026,5,0.0,0.0
absolute_momentum_12m_cash,2019,12,-0.00722756337632964,-0.011720770717505768
absolute_momentum_12m_cash,2020,12,-0.183230002228106,-0.2176239762931491
absolute_momentum_12m_cash,2021,12,0.1360908166102195,0.15044685757913823
absolute_momentum_12m_cash,2022,12,0.20540076883892133,0.21866835972402798
absolute_momentum_12m_cash,2023,12,-0.07542970679524306,-0.07181495300069318
absolute_momentum_12m_cash,2024,12,-0.020815018418488047,-0.029671278972949633
absolute_momentum_12m_cash,2025,12,0.26448684235969416,0.35819833869259843
absolute_momentum_12m_cash,2026,5,0.05471872977449399,0.0012211809619526726
supervised_selector,2019,12,-0.1244549886201968,-0.13697341689979847
supervised_selector,2020,12,-0.3514954949687984,-0.3688720410787881
supervised_selector,2021,12,0.07089290814411618,0.07025462963082685
supervised_selector,2022,12,0.2859916649952997,0.34317482143383304
supervised_selector,2023,12,-0.0817757578128035,-0.07505677626465435
supervised_selector,2024,12,-0.013861508195719144,-0.02039586279739014
supervised_selector,2025,12,0.08323208093891238,0.10707236288028099
supervised_selector,2026,5,0.05471872977449399,0.0012211809619526726
ppo_10_seed_ensemble,2019,12,-0.09685279562524718,-0.1059528484571628
ppo_10_seed_ensemble,2020,12,-0.19247597736538874,-0.24834852140952168
ppo_10_seed_ensemble,2021,12,-0.20873937022708905,-0.2270857491704119
ppo_10_seed_ensemble,2022,12,-0.11213596988626348,-0.10934004767357508
ppo_10_seed_ensemble,2023,12,-0.012810062765389194,-0.016764656676189316
ppo_10_seed_ensemble,2024,12,-0.13046926322232594,-0.14723965250465842
ppo_10_seed_ensemble,2025,12,-0.12627563481310622,-0.14952935478070484
ppo_10_seed_ensemble,2026,5,0.8224288546685414,0.3964342128281053
GSG_buy_and_hold,2019,12,-0.013326563376329648,-0.023874122780021878
GSG_buy_and_hold,2020,12,-0.4100040022281059,-0.4826097229040961
GSG_buy_and_hold,2021,12,0.1161328166102195,0.13968089609090661
GSG_buy_and_hold,2022,12,0.11656376883892129,0.12180444472842455
GSG_buy_and_hold,2023,12,-0.06925170679524306,-0.0715474594239186
GSG_buy_and_hold,2024,12,-0.14643401841848802,-0.16355980847664742
GSG_buy_and_hold,2025,12,-0.14972115764030583,-0.1704324341828687
GSG_buy_and_hold,2026,5,0.5985753326447902,0.27337041837589715
DBC_buy_and_hold,2019,12,-0.05038056337632967,-0.061698717472875586
DBC_buy_and_hold,2020,12,-0.276902002228106,-0.3216227557302558
DBC_buy_and_hold,2021,12,0.1309448166102195,0.16561048002136047
DBC_buy_and_hold,2022,12,0.07167876883892131,0.0744041538735889
DBC_buy_and_hold,2023,12,-0.08080070679524307,-0.0786846748239809
DBC_buy_and_hold,2024,12,-0.207640018418488,-0.2270077204405534
DBC_buy_and_hold,2025,12,-0.13037715764030583,-0.14908570030933754
DBC_buy_and_hold,2026,5,0.4508360254343271,0.21278490372717052
