strategy,excluded_year,months,annualized_mean_difference,candidate_cagr,benchmark_cagr
equal_weight,2019,77,-0.03268239714388028,0.1508296203007491,0.18651267812359906
equal_weight,2020,77,-0.01574365484022337,0.1617535366473133,0.17690853289794717
equal_weight,2021,77,-0.044894834111396255,0.1264337644801763,0.1762106095623761
equal_weight,2022,77,-0.03593465419954108,0.1566134044713583,0.19638208770256438
equal_weight,2023,77,-0.04592421386640986,0.16200705259708248,0.21443916835547827
equal_weight,2024,77,-0.03493032195286261,0.13737242358756374,0.17609154458051113
equal_weight,2025,77,-0.040169733729255135,0.13438197923668205,0.17892250600452386
equal_weight,2026,84,-0.05799715120279304,0.11672841124958722,0.1806613788718523
inverse_vol_12m,2019,77,-0.03659259640271595,0.1486330201109105,0.18651267812359906
inverse_vol_12m,2020,77,-0.02582371123059192,0.1516932440689469,0.17690853289794717
inverse_vol_12m,2021,77,-0.04417314569197894,0.1294219185272374,0.1762106095623761
inverse_vol_12m,2022,77,-0.037091051395591705,0.1574758486599006,0.19638208770256438
inverse_vol_12m,2023,77,-0.05592787838187825,0.15279267461269996,0.21443916835547827
inverse_vol_12m,2024,77,-0.0446972433165123,0.12894913455080648,0.17609154458051113
inverse_vol_12m,2025,77,-0.048067736798577294,0.12803025615372698,0.17892250600452386
inverse_vol_12m,2026,84,-0.05689104245611345,0.1195868125161379,0.1806613788718523
momentum_12m_top2_invvol,2019,77,-0.02265894775405153,0.16260514365007817,0.18651267812359906
momentum_12m_top2_invvol,2020,77,-0.025585689037616106,0.14897088269075676,0.17690853289794717
momentum_12m_top2_invvol,2021,77,-0.029067772162769297,0.1452210407126826,0.1762106095623761
momentum_12m_top2_invvol,2022,77,-0.03472580335894902,0.15852797529616525,0.19638208770256438
momentum_12m_top2_invvol,2023,77,-0.03257737690555402,0.17756088659939473,0.21443916835547827
momentum_12m_top2_invvol,2024,77,-0.040371561755834985,0.13237286736952147,0.17609154458051113
momentum_12m_top2_invvol,2025,77,-0.048304479956795696,0.12616936758262187,0.17892250600452386
momentum_12m_top2_invvol,2026,84,-0.035641776947878845,0.14203366068110168,0.1806613788718523
absolute_momentum_12m_cash,2019,77,0.05443685783475902,0.23544522229729914,0.18651267812359906
absolute_momentum_12m_cash,2020,77,0.08186580934412675,0.26078784340902583,0.17690853289794717
absolute_momentum_12m_cash,2021,77,0.0321015258888033,0.20131521457008938,0.1762106095623761
absolute_momentum_12m_cash,2022,77,0.021299974892122507,0.2096633959574099,0.19638208770256438
absolute_momentum_12m_cash,2023,77,0.06506576330264162,0.27705798205925114,0.21443916835547827
absolute_momentum_12m_cash,2024,77,0.0565543832958746,0.2272814499874567,0.17609154458051113
absolute_momentum_12m_cash,2025,77,0.012091755642131927,0.17776391437383388,0.17892250600452386
absolute_momentum_12m_cash,2026,84,0.045610876712952594,0.2232806124036142,0.1806613788718523
supervised_selector,2019,77,0.002459745014085149,0.17945189901685876,0.18651267812359906
supervised_selector,2020,77,0.037842681068412674,0.21233364533634802,0.17690853289794717
supervised_selector,2021,77,-0.027984083053080526,0.13719681129045558,0.1762106095623761
supervised_selector,2022,77,-0.06150596723768054,0.11898107890340048,0.19638208770256438
supervised_selector,2023,77,-0.004191563683170951,0.19846414590077632,0.21443916835547827
supervised_selector,2024,77,-0.014775602584534742,0.14977518673220236,0.17609154458051113
supervised_selector,2025,77,-0.029907071021100694,0.1347281487107741,0.17892250600452386
supervised_selector,2026,84,-0.018781585074169944,0.153522402795077,0.1806613788718523
ppo_10_seed_ensemble,2019,77,-0.06860689696119539,0.0989669142628058,0.18651267812359906
ppo_10_seed_ensemble,2020,77,-0.05370458292377071,0.11216729349756971,0.17690853289794717
ppo_10_seed_ensemble,2021,77,-0.05117002819207718,0.10770424166842596,0.1762106095623761
ppo_10_seed_ensemble,2022,77,-0.06622510356986816,0.10961997783448352,0.19638208770256438
ppo_10_seed_ensemble,2023,77,-0.08170446571857586,0.11133881719935101,0.21443916835547827
ppo_10_seed_ensemble,2024,77,-0.06336796694606622,0.09465506718728167,0.17609154458051113
ppo_10_seed_ensemble,2025,77,-0.06402151942542512,0.09800807489500474,0.17892250600452386
ppo_10_seed_ensemble,2026,84,-0.12567986770068712,0.03935507666322624,0.1806613788718523
GSG_buy_and_hold,2019,77,-0.045710323797039945,0.11072601805757176,0.18651267812359906
GSG_buy_and_hold,2020,77,0.016109536803236887,0.18562617210246213,0.17690853289794717
GSG_buy_and_hold,2021,77,-0.06588581158715151,0.07958234866085756,0.1762106095623761
GSG_buy_and_hold,2022,77,-0.06595297297344271,0.09857030024737168,0.19638208770256438
GSG_buy_and_hold,2023,77,-0.03699471703045603,0.14621788089737375,0.21443916835547827
GSG_buy_and_hold,2024,77,-0.024966304829430838,0.12174383203785943,0.17609154458051113
GSG_buy_and_hold,2025,77,-0.024454023392264438,0.125989411591505,0.17892250600452386
GSG_buy_and_hold,2026,84,-0.07943440900133311,0.07367535893859478,0.1806613788718523
DBC_buy_and_hold,2019,77,-0.04757110997953753,0.12444016042992545,0.18651267812359906
DBC_buy_and_hold,2020,77,-0.012269067561078876,0.15886363283467442,0.17690853289794717
DBC_buy_and_hold,2021,77,-0.07582961075666209,0.08412895658605946,0.1762106095623761
DBC_buy_and_hold,2022,77,-0.0665933435715247,0.11312077260388298,0.19638208770256438
DBC_buy_and_hold,2023,77,-0.042830308407758824,0.1557357365044214,0.21443916835547827
DBC_buy_and_hold,2024,77,-0.023063142959980392,0.14037909971004647,0.17609154458051113
DBC_buy_and_hold,2025,77,-0.03510410827606073,0.13047790844456264,0.17892250600452386
DBC_buy_and_hold,2026,84,-0.07763955185847597,0.08763231843926178,0.1806613788718523
