candidate,benchmark,block_length,replications,annualized_mean_difference,ci_2_5,ci_97_5,two_sided_centered_p_value,holm_adjusted_p_value
equal_weight,momentum_6m_top2_invvol,3,5000,-0.03875330025519967,-0.10755495687657757,0.03531249004019504,0.29834033193361326,
inverse_vol_12m,momentum_6m_top2_invvol,3,5000,-0.04380673600977157,-0.10402062608200587,0.019474400358967463,0.15796840631873627,
momentum_12m_top2_invvol,momentum_6m_top2_invvol,3,5000,-0.033639429928335095,-0.0902115617957597,0.020286894767618177,0.23955208958208357,
absolute_momentum_12m_cash,momentum_6m_top2_invvol,3,5000,0.04612255385124144,-0.07113002988138217,0.1643104336477086,0.45830833833233353,
supervised_selector,momentum_6m_top2_invvol,3,5000,-0.014652353902896684,-0.11815340515140968,0.0895201870275751,0.7740451909618077,
ppo_10_seed_ensemble,momentum_6m_top2_invvol,3,5000,-0.07241533273612372,-0.20429641519278868,0.07797062138082257,0.3191361727654469,
GSG_buy_and_hold,momentum_6m_top2_invvol,3,5000,-0.04134397407739361,-0.20661000267888557,0.11457026507185472,0.617876424715057,
DBC_buy_and_hold,momentum_6m_top2_invvol,3,5000,-0.047949912684723,-0.16621017468982532,0.07208716687022215,0.41631673665266944,
equal_weight,momentum_6m_top2_invvol,6,5000,-0.03875330025519967,-0.10649214837353581,0.03161209828590941,0.27034593081383723,1.0
inverse_vol_12m,momentum_6m_top2_invvol,6,5000,-0.04380673600977157,-0.10378197113682683,0.016336073381288604,0.14757048590281943,1.0
momentum_12m_top2_invvol,momentum_6m_top2_invvol,6,5000,-0.033639429928335095,-0.09716300571603431,0.024894043776422653,0.28114377124575085,1.0
absolute_momentum_12m_cash,momentum_6m_top2_invvol,6,5000,0.04612255385124144,-0.08463133311923957,0.17205995587211365,0.47730453909218157,1.0
supervised_selector,momentum_6m_top2_invvol,6,5000,-0.014652353902896684,-0.1346342322694465,0.11077439314162796,0.8050389922015597,1.0
ppo_10_seed_ensemble,momentum_6m_top2_invvol,6,5000,-0.07241533273612372,-0.18641304821366012,0.060264244506628366,0.24935012997400519,1.0
GSG_buy_and_hold,momentum_6m_top2_invvol,6,5000,-0.04134397407739361,-0.2022070649863997,0.11180517855875957,0.6010797840431914,1.0
DBC_buy_and_hold,momentum_6m_top2_invvol,6,5000,-0.047949912684723,-0.1579662672540904,0.0698823341058477,0.41011797640471903,1.0
equal_weight,momentum_6m_top2_invvol,12,5000,-0.03875330025519967,-0.10669741491109111,0.02527364670387423,0.241751649670066,
inverse_vol_12m,momentum_6m_top2_invvol,12,5000,-0.04380673600977157,-0.10204274783019435,0.014834209722505648,0.14077184563087383,
momentum_12m_top2_invvol,momentum_6m_top2_invvol,12,5000,-0.033639429928335095,-0.09155835132925745,0.025541183078217955,0.2601479704059188,
absolute_momentum_12m_cash,momentum_6m_top2_invvol,12,5000,0.04612255385124144,-0.07171451994881858,0.17470552949415022,0.4673065386922616,
supervised_selector,momentum_6m_top2_invvol,12,5000,-0.014652353902896684,-0.1435462137838195,0.12576894504173253,0.8462307538492302,
ppo_10_seed_ensemble,momentum_6m_top2_invvol,12,5000,-0.07241533273612372,-0.17901712295428396,0.05208032811141161,0.23335332933413316,
GSG_buy_and_hold,momentum_6m_top2_invvol,12,5000,-0.04134397407739361,-0.2079723501420218,0.11095775774944966,0.5960807838432314,
DBC_buy_and_hold,momentum_6m_top2_invvol,12,5000,-0.047949912684723,-0.1656831971004114,0.06655705128649426,0.4287142571485703,
