strategy,period,months,average_hhi,effective_assets,average_max_weight,months_max_weight_gt_50pct,average_weight_DBE,average_weight_GLD,average_weight_DBA,average_weight_DBB,average_weight_CASH
equal_weight,Combined OOS 2019-May 2026,89,0.25,4.0,0.25,0,0.25,0.25,0.25,0.25,0.0
equal_weight,Temporal extension 2025-May 2026,17,0.25,4.0,0.25,0,0.25,0.25,0.25,0.25,0.0
inverse_vol_12m,Combined OOS 2019-May 2026,89,0.281639429062716,3.5506392103121263,0.35808222926336347,3,0.1595236523973115,0.27566814460129685,0.34728647922117084,0.21752172378022078,0.0
inverse_vol_12m,Temporal extension 2025-May 2026,17,0.2658402583077912,3.7616574944875167,0.3175459384701189,0,0.1942890420145976,0.2511835986495587,0.3025978662049291,0.2519294931309145,0.0
momentum_6m_top2_invvol,Combined OOS 2019-May 2026,89,0.5441632373700608,1.8376838627192034,0.6202070968402963,89,0.1308270669127837,0.34848403938819505,0.2838145690570918,0.23687432464192945,0.0
momentum_6m_top2_invvol,Temporal extension 2025-May 2026,17,0.5195855941060017,1.9246107115817919,0.5641469983096146,17,0.08339529136752913,0.48761357851563253,0.16729944850781764,0.26169168160902073,0.0
momentum_12m_top2_invvol,Combined OOS 2019-May 2026,89,0.5401876294528003,1.8512086272930404,0.6112580104004888,89,0.12161230869375404,0.3654817432565185,0.3063084212935162,0.20659752675621124,0.0
momentum_12m_top2_invvol,Temporal extension 2025-May 2026,17,0.5189608940179475,1.9269274651076433,0.5625226891357481,17,0.056111423859095004,0.4882051868254994,0.23057603979132135,0.2251073495240842,0.0
absolute_momentum_12m_cash,Combined OOS 2019-May 2026,89,1.0,1.0,1.0,89,0.3146067415730337,0.550561797752809,0.06741573033707865,0.02247191011235955,0.0449438202247191
absolute_momentum_12m_cash,Temporal extension 2025-May 2026,17,1.0,1.0,1.0,17,0.11764705882352941,0.8235294117647058,0.058823529411764705,0.0,0.0
supervised_selector,Combined OOS 2019-May 2026,89,0.6838120473095907,1.4623901464363316,0.7243088691688696,71,0.25101382067730915,0.4033617338539766,0.2422368455992907,0.10338759986942359,0.0
supervised_selector,Temporal extension 2025-May 2026,17,0.8263260592730849,1.2101760422268364,0.8425057873077001,17,0.14086264210366747,0.7214833031521009,0.13765405474423173,0.0,0.0
ppo_10_seed_ensemble,Combined OOS 2019-May 2026,89,0.5039549339383461,1.984304414256097,0.6177914375535274,72,0.40410610666085794,0.20466841984951922,0.009220135145325565,0.21415481856602925,0.1678505197782681
ppo_10_seed_ensemble,Temporal extension 2025-May 2026,17,0.5751046423048956,1.7388139939059009,0.6981303505042306,15,0.647623956968388,0.06327839232461442,0.0020507558927160083,0.21164027700990715,0.0754066178043743
