strategy,cost_bps,months,total_return,cagr,arithmetic_annual_return,annual_volatility,excess_sharpe,maximum_drawdown,monthly_hit_rate_over_cash,average_monthly_turnover,annualized_turnover
equal_weight,0,89,1.6961030365325218,0.1430805352663198,0.1422091403489813,0.1250057273590086,0.9224151868296331,-0.19589454097687475,0.6067415730337079,0.016762458777480095,0.20114950532976114
inverse_vol_12m,0,89,1.6387074965950243,0.13976888775897156,0.13740051908218479,0.10898486691708038,1.016247236975176,-0.1593026080095309,0.5955056179775281,0.03716366609210002,0.44596399310520024
momentum_6m_top2_invvol,0,89,2.6064671495204057,0.18880925420896877,0.18347863959210775,0.1381222247163348,1.1304869746128685,-0.1218468406414942,0.6292134831460674,0.22644570777137704,2.7173484932565244
momentum_12m_top2_invvol,0,89,1.848693049226057,0.151597034573141,0.1494107533778566,0.12324686653329701,0.9946212677687516,-0.1600321394779095,0.6292134831460674,0.19074101727837411,2.2888922073404894
absolute_momentum_12m_cash,0,89,3.594983692182975,0.22827812017084703,0.22863665393885665,0.2079031551073094,0.9685989470009372,-0.301804881012107,0.550561797752809,0.14606741573033707,1.7528089887640448
supervised_selector,0,89,2.0884405823248158,0.16421250148432964,0.1697114756035753,0.18433740035786034,0.7740168037373096,-0.17030896770388726,0.550561797752809,0.30021153396840017,3.602538407620802
ppo_10_seed_ensemble,0,89,0.9951428589214397,0.09760463501495087,0.11018179208526555,0.18678665765242605,0.44787956839438425,-0.2981027334498647,0.5056179775280899,0.15298614354484005,1.8358337225380805
equal_weight,5,89,1.69411710763621,0.14296697309109296,0.1421085655963164,0.12500436518702024,0.9216229595326658,-0.19593465940339527,0.6067415730337079,0.016762458777480095,0.20114950532976114
inverse_vol_12m,5,89,1.6343964375975815,0.13951763670508943,0.1371775370856322,0.10898314768659771,1.0142154896208124,-0.15933271197199894,0.5955056179775281,0.03716366609210002,0.44596399310520024
momentum_6m_top2_invvol,5,89,2.570979663570489,0.18722526320705102,0.18211996534547947,0.13806974268355185,1.1211144408801101,-0.12226505755190531,0.6292134831460674,0.22644570777137704,2.7173484932565244
momentum_12m_top2_invvol,5,89,1.8249224015864378,0.15029668499797832,0.14826630727418633,0.1232341943542522,0.9854414149200791,-0.1612338023645178,0.6292134831460674,0.19074101727837411,2.2888922073404894
absolute_momentum_12m_cash,5,89,3.5659455973514502,0.2272286686170073,0.22776024944447465,0.2078583836765693,0.9646014520080558,-0.3021509936958171,0.550561797752809,0.14606741573033707,1.7528089887640448
supervised_selector,5,89,2.0479535702878313,0.1621429512184811,0.1679102063997649,0.18433427240413752,0.7642852907240368,-0.17250244883256893,0.550561797752809,0.30021153396840017,3.602538407620802
ppo_10_seed_ensemble,5,89,0.9815582217994623,0.09659400094856863,0.10926387522399653,0.1868401993534516,0.44283518017479334,-0.2985083342124507,0.5056179775280899,0.15298614354484005,1.8358337225380805
equal_weight,10,89,1.6921326191899886,0.14285342091756847,0.14200799084365154,0.1250030055492096,0.9208306966445852,-0.19597477649529838,0.6067415730337079,0.016762458777480095,0.20114950532976114
inverse_vol_12m,10,89,1.6300922933209048,0.1392664335270164,0.1369545550890796,0.10898145235628962,1.0121834702840447,-0.15936281527460205,0.5955056179775281,0.03716366609210002,0.44596399310520024
momentum_6m_top2_invvol,10,89,2.535831644384914,0.18564294289404737,0.1807612910988512,0.13801891911570977,1.1117217256242347,-0.12268322798664655,0.6292134831460674,0.22644570777137704,2.7173484932565244
momentum_12m_top2_invvol,10,89,1.80134379701189,0.14899745484588744,0.1471218611705161,0.12322318070938879,0.9762468894500632,-0.16243414596727723,0.6292134831460674,0.19074101727837411,2.2888922073404894
absolute_momentum_12m_cash,10,89,3.5370769133224274,0.22617960007557425,0.22688384495009262,0.20781542368286435,0.9605939563829357,-0.3024971063795264,0.550561797752809,0.14606741573033707,1.7528089887640448
supervised_selector,10,89,2.007985419347783,0.1600764615071808,0.16610893719595451,0.1843326708681803,0.7545473815407335,-0.17469074919453131,0.550561797752809,0.30021153396840017,3.602538407620802
ppo_10_seed_ensemble,10,89,0.968064056552941,0.09558414552385641,0.10834595836272748,0.18689407911316153,0.43779292418280724,-0.29891377513174744,0.5056179775280899,0.15298614354484005,1.8358337225380805
equal_weight,25,89,1.6861877862674595,0.1425128243993945,0.14170626658565685,0.12499894184167014,0.9184536948952906,-0.1960951197635673,0.6067415730337079,0.016762458777480095,0.20114950532976114
inverse_vol_12m,25,89,1.6172212400212946,0.13851311116885667,0.13628560909942183,0.10897650977748842,1.006085793555219,-0.1594531212232866,0.5955056179775281,0.03716366609210002,0.44596399310520024
momentum_6m_top2_invvol,25,89,2.4323929803832858,0.18090599277085473,0.1766852683589664,0.13787641724273683,1.083425500905436,-0.12393746045504017,0.6292134831460674,0.22644570777137704,2.7173484932565244
momentum_12m_top2_invvol,25,89,1.7317452885482307,0.14510647404429244,0.14368852285950534,0.1232000950929859,0.9485789228970999,-0.16602727147133522,0.6292134831460674,0.19074101727837411,2.2888922073404894
absolute_momentum_12m_cash,25,89,3.4514782870020646,0.2230346929800886,0.22425463146694657,0.20769742332727598,0.9485124002694371,-0.3035354444306556,0.5393258426966292,0.14606741573033707,1.7528089887640448
supervised_selector,25,89,1.8911295504885492,0.15389531911369092,0.16070512958452332,0.18433702497515786,0.7252976815959771,-0.18122467354588645,0.550561797752809,0.30021153396840017,3.602538407620802
ppo_10_seed_ensemble,25,89,0.9281185174896716,0.09255924605747645,0.10559220777892035,0.1870577438140193,0.422679210795869,-0.3001291392008856,0.4943820224719101,0.15298614354484005,1.8358337225380805
